"resultDate","ipAddress","country","region","city","latitude","longitude","serverName","serverSponsor","browserName","browserVersion","userAgent","ispName","ispNameRaw","OS","download (Kbps)","upload (Kbps)","latency (ms)","jitter","testId"
"2017-12-04T18:38:40.000Z","220.225.*.*","India","Haryana","Gurgaon",28.4667,77.0333,"Gurugram","Anjani Broadband Solutions Pvt Ltd.","Chrome","61.0.3163.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36","Reliance Mobile","RELIANCE COMMUNICATIONS","OS X 10.12.6","3731.00","3775.00",7,3,"4384edb0-d922-11e7-b242-7713466812d7"
"2017-12-04T18:27:43.000Z","220.225.*.*","India","Haryana","Gurgaon",28.4667,77.0333,"New Delhi","Star Broadband Services (I) Pvt Ltd","Chrome","61.0.3163.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36","Reliance Mobile","RELIANCE COMMUNICATIONS","OS X 10.12.6","3841.00","3686.00",7,3,"b9fc4cb0-d920-11e7-8834-e5a5756fd9dd"
"2017-12-04T18:21:47.000Z","220.225.*.*",,,,,,"New Delhi","Star Broadband Services (I) Pvt Ltd","Chrome","61.0.3163.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36","Reliance Mobile","RELIANCE COMMUNICATIONS","OS X 10.12.6","3814.00","3660.00",7,2,"e5012300-d91f-11e7-8834-e5a5756fd9dd"
"2017-12-04T18:20:12.000Z","220.225.*.*",,,,,,"New Delhi","Star Broadband Services (I) Pvt Ltd","Chrome","61.0.3163.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36","Reliance Mobile","RELIANCE COMMUNICATIONS","OS X 10.12.6","3846.00","3744.00",7,2,"65f83b70-d91f-11e7-8834-e5a5756fd9dd"
"2017-12-04T18:19:33.000Z","220.225.*.*",,,,,,"New Delhi","Star Broadband Services (I) Pvt Ltd","Chrome","61.0.3163.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36","Reliance Mobile","RELIANCE COMMUNICATIONS","OS X 10.12.6","3746.00","3690.00",6,4,"94037e80-d91f-11e7-8834-e5a5756fd9dd"
"2017-12-04T18:18:47.000Z","220.225.*.*",,,,,,"New Delhi","Star Broadband Services (I) Pvt Ltd","Chrome","61.0.3163.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36","Reliance Mobile","RELIANCE COMMUNICATIONS","OS X 10.12.6","3859.00","3754.00",6,2,"7cb500a0-d91f-11e7-8834-e5a5756fd9dd"
"2017-11-29T10:26:51.000Z","220.225.*.*","India","Haryana","Gurgaon",28.4667,77.0333,"Gurgaon","Tripleplay Broadband Pvt Ltd","Chrome","61.0.3163.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36","Reliance Mobile","RELIANCE COMMUNICATIONS","OS X 10.12.6","3871.00","3761.00",7,3,"bbae15f0-d4ef-11e7-acfe-2bbbab2491a6"
"2017-11-26T07:25:28.000Z","220.225.*.*","India","Haryana","Gurgaon",28.4667,77.0333,"Gurugram","Anjani Broadband Solutions Pvt Ltd.","Chrome","61.0.3163.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36","Reliance Mobile","RELIANCE COMMUNICATIONS","OS X 10.12.6","3010.00","2868.00",56,3,"e38f1e60-d27a-11e7-8686-150b9e9408f7"
"2017-11-25T17:19:13.000Z","220.225.*.*","India","Haryana","Gurgaon",28.4667,77.0333,"Gurgaon","True Broadband","Chrome","61.0.3163.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36","Reliance Mobile","RELIANCE COMMUNICATIONS","OS X 10.12.6","3766.00","3782.00",8,2,"ab7b5be0-d204-11e7-8166-5fa09d1ef300"
"2017-11-25T17:17:42.000Z","220.225.*.*","India","Haryana","Gurgaon",28.4667,77.0333,"Gurugram","Anjani Broadband Solutions Pvt Ltd.","Firefox","57.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:57.0) Gecko/20100101 Firefox/57.0","Reliance Mobile","RELIANCE COMMUNICATIONS","OS X 10.12","3745.00","3778.00",7,11,"76023dd0-d204-11e7-99b1-e902f7f95cf8"